City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Albany,US,29.64,broken clouds,42.6001,-73.9662,
7,Severo-Kurilsk,RU,29.19,light snow,50.6789,156.125,Kak Doma
12,Jamestown,US,30.72,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
15,Saint-Augustin,CA,27.19,snow,51.226,-58.6502,
44,Sitka,US,28.29,mist,57.0531,-135.33,Westmark Sitka
45,Kemin,KG,34.32,light snow,42.7846,75.6892,Hotel Kok-Oirok
55,Xining,CN,27.18,overcast clouds,36.6167,101.7667,Super Leisure Hotel
58,Qaanaaq,GL,25.95,overcast clouds,77.484,-69.3632,Qaanaaq Hotel
81,Brainerd,US,26.55,clear sky,46.358,-94.2008,"Holiday Inn Express & Suites Brainerd-Baxter, an IHG Hotel"
82,Nanortalik,GL,30.74,overcast clouds,60.1432,-45.2371,Hotel Kap Farvel
83,Korla,CN,27.12,overcast clouds,41.7597,86.1469,Gulisitan Hotel
87,Titel,RS,36.0,overcast clouds,45.2061,20.2944,Mala Ulica 2
98,Zhezkazgan,KZ,23.88,overcast clouds,47.8043,67.7144,Hotel Zumrat
99,Jumla,NP,33.98,few clouds,29.2747,82.1838,Royal Garden Hotel
107,Upernavik,GL,25.05,overcast clouds,72.7868,-56.1549,Gina's Guesthouse - Upernavik
109,Broome,US,30.7,light snow,42.2506,-75.833,Chenango Valley State Park
110,Palmer,US,32.61,broken clouds,42.1584,-72.3287,Wedgewood Motel
133,Port Hardy,CA,37.76,broken clouds,50.6996,-127.4199,Airport Inn
134,Nikolskoye,RU,28.02,overcast clouds,59.7035,30.7861,Tourist House - Sablino
142,Shache,CN,32.41,overcast clouds,38.4167,77.2406,Delong Hotel
146,Grindavik,IS,33.75,clear sky,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
150,Tasiilaq,GL,23.16,clear sky,65.6145,-37.6368,The Red House
163,Nurota,UZ,32.09,clear sky,40.5614,65.6886,Guest House Ruslan Nurata & Tours
