City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Albany,US,2021-12-23 17:20:45,42.6001,-73.9662,29.64,36,55,5.01,broken clouds
1,Placerville,US,2021-12-23 17:35:06,38.7296,-120.7986,51.67,97,90,1.01,moderate rain
2,Kaitangata,NZ,2021-12-23 17:35:06,-46.2817,169.8464,51.93,85,95,2.89,overcast clouds
3,Dayong,CN,2021-12-23 17:35:06,25.0209,118.2898,62.89,73,100,2.39,overcast clouds
4,Ushuaia,AR,2021-12-23 17:30:09,-54.8,-68.3,60.46,41,75,3.44,broken clouds
5,Moose Factory,CA,2021-12-23 17:35:07,51.2585,-80.6094,-5.8,77,1,3.44,clear sky
6,Punta Arenas,CL,2021-12-23 17:27:00,-53.15,-70.9167,62.71,48,0,12.66,clear sky
7,Severo-Kurilsk,RU,2021-12-23 17:34:34,50.6789,156.125,29.19,68,85,19.84,light snow
8,Guerrero Negro,MX,2021-12-23 17:33:31,27.9769,-114.0611,69.93,45,100,7.4,overcast clouds
9,Sao Filipe,CV,2021-12-23 17:34:39,14.8961,-24.4956,75.88,70,0,7.61,clear sky
10,Fairbanks,US,2021-12-23 17:35:08,64.8378,-147.7164,7.09,84,90,6.91,light snow
11,Cape Town,ZA,2021-12-23 17:27:27,-33.9258,18.4232,74.12,66,0,5.01,clear sky
12,Jamestown,US,2021-12-23 17:24:46,42.097,-79.2353,30.72,70,100,7.0,overcast clouds
13,Busselton,AU,2021-12-23 17:25:16,-33.65,115.3333,60.08,79,19,12.06,few clouds
14,Codrington,AU,2021-12-23 17:35:08,-38.2667,141.9667,48.42,94,2,6.44,clear sky
15,Saint-Augustin,CA,2021-12-23 17:30:26,51.226,-58.6502,27.19,93,100,23.91,snow
16,Anicuns,BR,2021-12-23 17:35:09,-16.4611,-49.9617,72.48,95,100,2.73,heavy intensity rain
17,Bama,NG,2021-12-23 17:35:09,11.5221,13.6856,74.66,27,5,11.88,clear sky
18,Hilo,US,2021-12-23 17:25:20,19.7297,-155.09,70.29,49,90,10.36,heavy intensity rain
19,Taoudenni,ML,2021-12-23 17:35:09,22.6783,-3.9836,75.07,23,0,10.71,clear sky
20,Aklavik,CA,2021-12-23 17:35:10,68.2191,-135.0107,-12.17,76,75,0.0,broken clouds
21,Tuktoyaktuk,CA,2021-12-23 17:25:25,69.4541,-133.0374,-4.0,77,90,18.41,light snow
22,Pangnirtung,CA,2021-12-23 17:35:10,66.1451,-65.7125,5.0,61,20,0.0,few clouds
23,Mataura,NZ,2021-12-23 17:35:11,-46.1927,168.8643,50.49,87,99,0.96,overcast clouds
24,Cidreira,BR,2021-12-23 17:35:11,-30.1811,-50.2056,74.59,62,7,12.1,clear sky
25,Khatanga,RU,2021-12-23 17:35:11,71.9667,102.5,-19.08,89,95,6.51,overcast clouds
26,Hermanus,ZA,2021-12-23 17:25:26,-34.4187,19.2345,73.9,71,69,16.98,broken clouds
