City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Rikitea,-23.1203,-134.9692,73.94,86,100,14.38,PF,2021-12-21 21:29:10
1,Nimes,43.8333,4.35,42.4,81,90,3.44,FR,2021-12-21 21:29:10
2,Ilheus,-14.7889,-39.0494,80.42,83,75,2.3,BR,2021-12-21 21:29:10
3,Comodoro Rivadavia,-45.8667,-67.5,73.26,27,0,16.11,AR,2021-12-21 21:29:11
4,Busselton,-33.65,115.3333,60.04,89,0,9.93,AU,2021-12-21 21:29:11
5,Atuona,-9.8,-139.0333,78.37,75,100,17.0,PF,2021-12-21 21:29:11
6,Chokurdakh,70.6333,147.9167,-9.2,97,100,9.28,RU,2021-12-21 21:29:12
7,Namatanai,-3.6667,152.4333,80.53,81,99,2.75,PG,2021-12-21 21:29:12
8,Vuktyl,63.8567,57.3094,-2.83,90,91,5.35,RU,2021-12-21 21:29:12
9,Manduria,40.4018,17.6335,44.31,57,76,1.81,IT,2021-12-21 21:29:13
10,Charters Towers,-20.1,146.2667,75.2,78,6,9.66,AU,2021-12-21 21:29:13
11,Nagorsk,59.3172,50.8078,-0.6,99,93,3.69,RU,2021-12-21 21:29:13
12,Boa Esperanca Do Sul,-21.9925,-48.3908,83.12,54,60,3.85,BR,2021-12-21 21:29:14
13,Guanica,17.9716,-66.908,84.2,71,2,3.0,PR,2021-12-21 21:29:14
14,Barrow,71.2906,-156.7887,-2.18,78,90,23.02,US,2021-12-21 21:29:14
15,Arraial Do Cabo,-22.9661,-42.0278,76.96,73,0,23.02,BR,2021-12-21 21:29:14
16,Karla,59.3723,24.9275,21.56,82,90,9.22,EE,2021-12-21 21:29:15
17,Ilulissat,69.2167,-51.1,41.02,36,95,40.29,GL,2021-12-21 21:29:15
18,Isiolo,0.3546,37.5822,67.48,87,100,4.68,KE,2021-12-21 21:29:15
19,Kapaa,22.0752,-159.319,75.18,77,75,5.01,US,2021-12-21 21:29:16
20,Bredasdorp,-34.5322,20.0403,67.32,88,100,6.91,ZA,2021-12-21 21:29:16
21,Ponta Do Sol,32.6667,-17.1,66.7,81,100,8.9,PT,2021-12-21 21:29:16
